,city,price,beds,baths,sqft,url,address
27,Brookfield,"$549,900",4 beds,2.5 baths,"3,028 ",https://www.redfin.com/WI/Brookfield/1215-Ridgeway-Rd-53045/home/89977010,"1215 Ridgeway Rd, Brookfield, WI 53045"
28,Brookfield,"$1,095,000",5 beds,3 baths,"3,410 ",https://www.redfin.com/WI/Brookfield/520-Golden-Eagle-Ct-53045/home/58101818,"520 Golden Eagle Ct, Brookfield, WI 53045"
29,West Allis,"$99,500",No Data Available,No Data Available,0.35 ,https://www.redfin.com/WI/West-Allis/2580-S-Root-River-Pkwy-53227/unit-Outlot/home/190358677,"2580 S Root River Pkwy Unit Outlot, West Allis, WI 53227"
30,Muskego,"$195,550",No Data Available,No Data Available,0.57 ,https://www.redfin.com/WI/Muskego/Lt4-Twin-Silos-CT-53150/unit-4/home/190327938,"Lt4 Twin Silos Ct Lot 4, Muskego, WI 53150"
31,Muskego,"$665,000",3 beds,1.5 baths,"1,794 ",https://www.redfin.com/WI/Muskego/W183S6558-Jewel-Crest-Dr-53150/home/89997218,"W183S6558 Jewel Crest Dr, Muskego, WI 53150"
32,New Berlin,"$270,450",No Data Available,No Data Available,0.82 ,https://www.redfin.com/WI/New-Berlin/Lt18-Autumn-Trace-CT-53151/unit-18/home/189481244,"Lt18 Autumn Trace Ct Lot 18, New Berlin, WI 53151"
33,New Berlin,"$75,000",No Data Available,No Data Available,0.94 ,https://www.redfin.com/WI/New-Berlin/Lt0-S-Calhoun-Rd-53146/home/171437130,"Lt0 Calhoun Rd, New Berlin, WI 53151"
34,New Berlin,"$249,900",No Data Available,No Data Available,5.00 ,https://www.redfin.com/WI/New-Berlin/Lt4-W-Hilltop-Dr-53146/home/185358867,"Lt4 Hilltop Dr, New Berlin, WI 53146"
35,New Berlin,"$239,900",No Data Available,No Data Available,5.60 ,https://www.redfin.com/WI/New-Berlin/Lt3-W-Hilltop-Dr-53146/home/185358928,"Lt3 Hilltop Dr, New Berlin, WI 53146"
36,Brookfield,"$195,000",No Data Available,No Data Available,0.46 ,https://www.redfin.com/WI/Brookfield/15070-Franklin-Dr-53005/unit-1/home/185452875,"15070 Franklin Dr Lot 1, Brookfield, WI 53005"
37,Cudahy,"$227,999",2 beds,2 baths,"1,240 ",https://www.redfin.com/WI/Cudahy/6228-S-Creekside-Dr-53110/unit-9/home/90282798,"6228 S Creekside Dr #9, Cudahy, WI 53110"
38,Cudahy,"$249,900",2 beds,2 baths,"1,440 ",https://www.redfin.com/WI/Cudahy/6010-S-Crosswinds-Dr-53110/unit-5/home/58043273,"6010 S Crosswinds Dr #5, Cudahy, WI 53110"
39,Cudahy,"$379,900",4 beds,2 baths,"2,047 ",https://www.redfin.com/WI/Cudahy/3774-E-Squire-Ave-53110/home/90281982,"3774 E Squire Ave, Cudahy, WI 53110"
40,Cudahy,"$439,000",No Data Available,No Data Available,"3,500 ",https://www.redfin.com/WI/Cudahy/3863-E-Barnard-Ave-53110/unit-3869/home/172014257,"3863 E Barnard Ave #3869, Cudahy, WI 53110"
41,Cudahy,"$45,000",No Data Available,No Data Available,"7,405 ",https://www.redfin.com/WI/Cudahy/3360-E-Grange-Ave-53110/home/58113803,"3360 E Grange Ave, Cudahy, WI 53110"
42,Cudahy,"$500,000",No Data Available,No Data Available,5.66 ,https://www.redfin.com/WI/Cudahy/6040-S-Buckhorn-Ave-53110/unit-6060/home/183841572,"6040 S Buckhorn Ave #6060, Cudahy, WI 53110"
