,city,price,beds,baths,sqft,url,address,ins_dttm,extract_dttm,delete_dttm,orig_listing_price,list_price_change
104,Milwaukee,"$2,950,000",3 beds,3.5 baths,"4,701 ",https://www.redfin.com/WI/Milwaukee/102-N-Water-St-53202/unit-802/home/90341718,"102 N Water St #802, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$2,950,000",
105,Milwaukee,"$139,900",5 beds,2 baths,"1,844 ",https://www.redfin.com/WI/Milwaukee/611-W-Maple-St-53204/home/90234021,"611 W Maple St, Milwaukee, WI 53204",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$139,900",
106,Milwaukee,"$139,900",5 beds,2 baths,"1,599 ",https://www.redfin.com/WI/Milwaukee/615-W-Maple-St-53204/home/90234022,"615 W Maple St, Milwaukee, WI 53204",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$139,900",
107,Milwaukee,"$244,900",6 beds,2 baths,"2,866 ",https://www.redfin.com/WI/Milwaukee/1910-W-Forest-Home-Ave-53204/unit-1912/home/191716539,"1910 W Forest Home Ave #1912, Milwaukee, WI 53204",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$244,900",
108,Milwaukee,"$10,000",2 beds,2 baths,"2,568 ",https://www.redfin.com/WI/Milwaukee/1901-S-26th-St-53204/home/90372054,"1901 S 26th St, Milwaukee, WI 53204",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$10,000",
109,Milwaukee,"$10,000",2 beds,3 baths,"2,142 ",https://www.redfin.com/WI/Milwaukee/1577-S-25th-St-53204/home/57870677,"1577 S 25th St, Milwaukee, WI 53204",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$10,000",
110,Milwaukee,"$99,900",3 beds,1.5 baths,"1,152 ",https://www.redfin.com/WI/Milwaukee/1961-S-Congo-Ave-53204/home/57708002,"1961 S Congo Ave, Milwaukee, WI 53204",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$99,900",
111,Milwaukee,"$264,000",No Data Available,No Data Available,"3,218 ",https://www.redfin.com/WI/Milwaukee/1970-S-16th-St-53204/home/58054877,"1970 S 16th St, Milwaukee, WI 53204",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$264,000",
112,Milwaukee,"$375,000",2 beds,1.5 baths,"2,562 ",https://www.redfin.com/WI/Milwaukee/1033-W-National-Ave-53204/home/191505722,"1033 W National Ave, Milwaukee, WI 53204",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$375,000",
113,Milwaukee,"$235,000",2 beds,2 baths,"2,016 ",https://www.redfin.com/WI/Milwaukee/1719-S-1st-St-53204/home/90234341,"1719 S 1st St, Milwaukee, WI 53204",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$235,000",
114,Milwaukee,"$255,000",No Data Available,No Data Available,No Data Available,https://www.redfin.com/WI/Milwaukee/1539-S-11th-St-53204/home/90233990,"1539 S 11th St, Milwaukee, WI 53204",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$255,000",
115,Milwaukee,"$249,900",6 beds,3 baths,"2,500 ",https://www.redfin.com/WI/Milwaukee/1319-S-17th-St-53204/home/58066625,"1319 S 17th St, Milwaukee, WI 53204",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$249,900",
116,Milwaukee,"$156,500",3 beds,2 baths,"1,350 ",https://www.redfin.com/WI/Milwaukee/653-W-Bruce-St-53204/home/90231362,"653 W Bruce St, Milwaukee, WI 53204",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$156,500",
117,Milwaukee,"$246,500",3 beds,1.5 baths,"1,452 ",https://www.redfin.com/WI/Milwaukee/651-W-Bruce-St-53204/home/90230919,"651 W Bruce St, Milwaukee, WI 53204",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$246,500",
118,Milwaukee,"$160,000",6 beds,2 baths,"2,210 ",https://www.redfin.com/WI/Milwaukee/2217-W-Orchard-St-53204/unit-2219/home/58055871,"2217 W Orchard St #2219, Milwaukee, WI 53204",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$160,000",
119,Milwaukee,"$225,000",7 beds,3 baths,"2,466 ",https://www.redfin.com/WI/Milwaukee/2016-S-15th-St-53204/unit-2018/home/58068266,"2016 S 15th St #2018, Milwaukee, WI 53204",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$225,000",
120,Milwaukee,"$375,000",No Data Available,No Data Available,"3,940 ",https://www.redfin.com/WI/Milwaukee/2608-W-Mitchell-St-53204/home/90233320,"2608 W Mitchell St, Milwaukee, WI 53204",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$375,000",
121,Milwaukee,"$150,000",4 beds,2 baths,"1,789 ",https://www.redfin.com/WI/Milwaukee/1543-S-23rd-St-53204/home/58059354,"1543 S 23rd St, Milwaukee, WI 53204",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$150,000",
122,Milwaukee,"$120,000",4 beds,1 bath,"1,122 ",https://www.redfin.com/WI/Milwaukee/1528-S-Comstock-Ave-53204/home/90370825,"1528 S Comstock Ave, Milwaukee, WI 53204",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$120,000",
123,Milwaukee,"$4,499,000",No Data Available,No Data Available,1.40 ,https://www.redfin.com/WI/Milwaukee/1803-S-Kinnickinnic-Ave-53204/unit-1825/home/148032589,"1803 S Kinnickinnic Ave #1825, Milwaukee, WI 53204",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$4,499,000",
124,Milwaukee,"$1,490,000",No Data Available,No Data Available,0.40 ,https://www.redfin.com/WI/Milwaukee/1803-S-Kinnickinnic-Ave-53204/unit-1817/home/188220982,"1803 S Kinnickinnic Ave #1817, Milwaukee, WI 53204",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$1,490,000",
125,Milwaukee,"$1,490,000",No Data Available,No Data Available,0.34 ,https://www.redfin.com/WI/Milwaukee/1823-S-Kinnickinnic-Ave-53204/unit-1825/home/189637534,"1823 S Kinnickinnic Ave #1825, Milwaukee, WI 53204",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$1,490,000",
126,Milwaukee,"$1,490,000",No Data Available,No Data Available,0.42 ,https://www.redfin.com/WI/Milwaukee/1800-S-1st-St-53204/home/189635931,"1800 S 1st St, Milwaukee, WI 53204",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$1,490,000",
127,Milwaukee,"$159,900",4 beds,2 baths,"1,692 ",https://www.redfin.com/WI/Milwaukee/2127-N-24th-Pl-53205/home/58060345,"2127 N 24th Pl, Milwaukee, WI 53205",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$159,900",
128,Milwaukee,"$199,000",No Data Available,No Data Available,No Data Available,https://www.redfin.com/WI/Milwaukee/2311-W-McKinley-Ave-53205/unit-2313/home/185301143,"2311 W Mckinley Ave #2313, Milwaukee, WI 53205",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$199,000",
129,Milwaukee,"$109,000",4 beds,2 baths,"1,108 ",https://www.redfin.com/WI/Milwaukee/1323-W-McKinley-Ave-53205/home/90365454,"1323 W Mckinley Ave, Milwaukee, WI 53205",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$109,000",
130,Milwaukee,"$249,000",3 beds,2.5 baths,"1,818 ",https://www.redfin.com/WI/Milwaukee/1807-N-22nd-St-53205/home/57760860,"1807 N 22nd St, Milwaukee, WI 53205",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$249,000",
131,Milwaukee,"$120,000",4 beds,1 bath,"1,380 ",https://www.redfin.com/WI/Milwaukee/1314-N-22nd-St-53205/home/90365665,"1314 N 22nd St, Milwaukee, WI 53205",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$120,000",
132,Milwaukee,"$250,000",3 beds,1.5 baths,"1,660 ",https://www.redfin.com/WI/Milwaukee/1723-N-20th-St-53205/home/60376913,"1723 N 20th St, Milwaukee, WI 53205",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$250,000",
133,Milwaukee,"$259,900",3 beds,2.5 baths,"1,728 ",https://www.redfin.com/WI/Milwaukee/2135-W-Vine-St-53205/home/58008355,"2135 W Vine St, Milwaukee, WI 53205",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$259,900",
134,Milwaukee,"$359,900",3 beds,2.5 baths,"1,448 ",https://www.redfin.com/WI/Milwaukee/2025-W-Vliet-St-53205/home/185367778,"2025 W Vliet St, Milwaukee, WI 53205",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$359,900",
135,Milwaukee,"$369,900",4 beds,2 baths,"1,531 ",https://www.redfin.com/WI/Milwaukee/2015-W-Vliet-St-53205/home/185367779,"2015 W Vliet St, Milwaukee, WI 53205",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$369,900",
136,Milwaukee,"$359,900",3 beds,2.5 baths,"1,448 ",https://www.redfin.com/WI/Milwaukee/2007-W-Vliet-St-53205/home/185367780,"2007 W Vliet St, Milwaukee, WI 53205",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$359,900",
